項次,分類,原始項次,domain,URL,系統名稱,弱點名稱,弱點描述(英文),弱點描述(中文),修補建議(英文),修補建議(中文),風險等級,參數資訊,標的管理單位,弱點狀態,弱點發現時間,設備種類,檢測日期
332,Unable,62,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%B8%AD%E4%BF%9D%E7%A7%91%E6%94%9C%E6%A6%AE%E7%B8%BD-%E5%95%9F%E5%8B%95ai%E9%9F%8C%E6%80%A7%E9%86%AB%E7%99%82%E6%96%B0%E7%AF%87%E7%AB%A0-%E6%8D%90%E8%B4%8823%E5%A5%97ai%E6%99%BA%E6%85%A7%E6%80%A5%E6%95%91%E8%A8%93%E7%B7%B4%E6%A8%A1%E7%B5%84-15%E5%B9%B...
參數:中保科攜榮總-啟動ai韌性醫療新篇章-捐贈23套ai智慧急救訓練模組-15年累計急救訓練超過47萬人(Page)",無限+生活誌,檢查是否有 SRI（子資源完整性）支援,SRI (Subresource Integrity) not supported,不支援 SRI（子資源完整性）,"Add Subresource Integrity to every script/link with source not in your domain
W3C Subresource Integrity:
https://www.w3.org/TR/SRI/
SRI Hash Generator:
https://srihash.org
Sample Script Element Not Supporting SRI:
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
Sample Script Element Supporting SRI:
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
","將「子資源完整性」新增至每一個 Script/鏈結（其原始碼不在您網域中）
W3C 子資源完整性：
https://www.w3.org/TR/SRI/
SRI雜湊生成器：
https://srihash.org
不支援SRI的範例腳本元素：
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
範例劇本元素支援SRI：
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
",Medium,假設第三方伺服器已受損，網站的內容/行為會變更,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
333,Unable,66,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E7%94%9F%E6%88%90%E5%BC%8F%E4%BA%BA%E5%B7%A5%E6%99%BA%E6%85%A7%E5%85%A8%E9%9D%A2%E6%94%B9%E5%AF%AB%E5%90%84%E8%A1%8C%E5%90%84%E6%A5%AD%E6%89%80%E5%B8%B6%E4%BE%86%E7%9A%84%E8%B3%87%E5%AE%89%E5%8D%B1%E6%A9%9F
參數:生成式人工智慧全面改寫各行各業所帶來的資安危機(Page)",無限+生活誌,檢查是否有 SRI（子資源完整性）支援,SRI (Subresource Integrity) not supported,不支援 SRI（子資源完整性）,"Add Subresource Integrity to every script/link with source not in your domain
W3C Subresource Integrity:
https://www.w3.org/TR/SRI/
SRI Hash Generator:
https://srihash.org
Sample Script Element Not Supporting SRI:
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
Sample Script Element Supporting SRI:
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
","將「子資源完整性」新增至每一個 Script/鏈結（其原始碼不在您網域中）
W3C 子資源完整性：
https://www.w3.org/TR/SRI/
SRI雜湊生成器：
https://srihash.org
不支援SRI的範例腳本元素：
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
範例劇本元素支援SRI：
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
",Medium,假設第三方伺服器已受損，網站的內容/行為會變更,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
334,Unable,68,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%BF%9D%E8%8F%AF%E8%B3%87%E5%AE%89%E8%AB%87%E7%87%9F%E6%A5%AD%E7%A7%98%E5%AF%86-%E5%A4%96%E6%B4%A9%E4%B9%8B%E9%98%B2%E7%AF%84
參數:保華資安談營業秘密-外洩之防範(Page)",無限+生活誌,檢查是否有 SRI（子資源完整性）支援,SRI (Subresource Integrity) not supported,不支援 SRI（子資源完整性）,"Add Subresource Integrity to every script/link with source not in your domain
W3C Subresource Integrity:
https://www.w3.org/TR/SRI/
SRI Hash Generator:
https://srihash.org
Sample Script Element Not Supporting SRI:
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
Sample Script Element Supporting SRI:
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
","將「子資源完整性」新增至每一個 Script/鏈結（其原始碼不在您網域中）
W3C 子資源完整性：
https://www.w3.org/TR/SRI/
SRI雜湊生成器：
https://srihash.org
不支援SRI的範例腳本元素：
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
範例劇本元素支援SRI：
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
",Medium,假設第三方伺服器已受損，網站的內容/行為會變更,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
335,Unable,72,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E6%99%BA%E6%85%A7%E7%A7%91%E6%8A%80%E9%9D%A9%E6%96%B0%E7%A7%9F%E5%B1%8B%E9%AB%94%E9%A9%97%E3%80%8C%E6%99%BA%E6%85%A7%E6%88%BF%E6%9D%B1%E6%87%B6%E4%BA%BA%E5%8C%85%E3%80%8D--%E7%82%BA%E6%88%BF%E6%9D%B1%E5%89%B5%E9%80%A0%E5%83%B9%E5%80%BC%E7%82%BA%E6%88%B...
參數:智慧科技革新租屋體驗「智慧房東懶人包」--為房東創造價值為房客築起安全堡壘(Page)",無限+生活誌,檢查是否有 SRI（子資源完整性）支援,SRI (Subresource Integrity) not supported,不支援 SRI（子資源完整性）,"Add Subresource Integrity to every script/link with source not in your domain
W3C Subresource Integrity:
https://www.w3.org/TR/SRI/
SRI Hash Generator:
https://srihash.org
Sample Script Element Not Supporting SRI:
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
Sample Script Element Supporting SRI:
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
","將「子資源完整性」新增至每一個 Script/鏈結（其原始碼不在您網域中）
W3C 子資源完整性：
https://www.w3.org/TR/SRI/
SRI雜湊生成器：
https://srihash.org
不支援SRI的範例腳本元素：
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
範例劇本元素支援SRI：
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
",Medium,假設第三方伺服器已受損，網站的內容/行為會變更,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
336,Unable,74,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%B8%AD%E4%BF%9D%E7%A7%91%E6%8A%80%E5%8F%83%E8%88%872025%E4%BA%9E%E6%B4%B2%E6%8A%80%E8%83%BD%E7%AB%B6%E8%B3%BDformosa%E7%A7%91%E6%8A%80%E4%B9%8B%E5%B3%B6%E5%B1%95%E7%A4%BA%E5%8D%80---%E4%BB%A5ai%E6%99%BA%E6%85%A7%E9%98%B2%E7%81%BD%E5%B1%95%E7%8F%BE%E5...
參數:中保科技參與2025亞洲技能競賽formosa科技之島展示區---以ai智慧防災展現台灣科技實力(Page)",無限+生活誌,檢查是否有 SRI（子資源完整性）支援,SRI (Subresource Integrity) not supported,不支援 SRI（子資源完整性）,"Add Subresource Integrity to every script/link with source not in your domain
W3C Subresource Integrity:
https://www.w3.org/TR/SRI/
SRI Hash Generator:
https://srihash.org
Sample Script Element Not Supporting SRI:
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
Sample Script Element Supporting SRI:
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
","將「子資源完整性」新增至每一個 Script/鏈結（其原始碼不在您網域中）
W3C 子資源完整性：
https://www.w3.org/TR/SRI/
SRI雜湊生成器：
https://srihash.org
不支援SRI的範例腳本元素：
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
範例劇本元素支援SRI：
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
",Medium,假設第三方伺服器已受損，網站的內容/行為會變更,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
337,Unable,78,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E6%B8%AF%E6%82%B2%E5%8A%87%E5%95%9F%E7%A4%BA%E9%AB%98%E6%A8%93%E4%BF%AE%E7%B9%95%E5%8D%B1%E6%A9%9F--%E4%BD%95%E5%B2%AB%E7%92%81%E6%95%99%E6%8E%88%E3%80%8C%E8%A4%87%E5%90%88%E5%BC%8F%E7%81%AB%E7%81%BD%E3%80%8D%E6%96%B0%E5%A8%81%E8%84%85-%E7%B1%B2%E5%85%...
參數:港悲劇啟示高樓修繕危機--何岫璁教授「複合式火災」新威脅-籲全面導入「遠端監控火災預警系統」(Page)",無限+生活誌,檢查是否有 SRI（子資源完整性）支援,SRI (Subresource Integrity) not supported,不支援 SRI（子資源完整性）,"Add Subresource Integrity to every script/link with source not in your domain
W3C Subresource Integrity:
https://www.w3.org/TR/SRI/
SRI Hash Generator:
https://srihash.org
Sample Script Element Not Supporting SRI:
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
Sample Script Element Supporting SRI:
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
","將「子資源完整性」新增至每一個 Script/鏈結（其原始碼不在您網域中）
W3C 子資源完整性：
https://www.w3.org/TR/SRI/
SRI雜湊生成器：
https://srihash.org
不支援SRI的範例腳本元素：
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
範例劇本元素支援SRI：
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
",Medium,假設第三方伺服器已受損，網站的內容/行為會變更,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
338,Unable,80,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%B8%AD%E4%BF%9D%E7%A7%91%E6%97%BA%E5%B9%B4%E6%9C%83%E7%A7%80ai%E5%8A%A9%E7%90%86-%E8%91%A3%E5%BA%A7%E6%9E%97%E5%BB%BA%E6%B6%B52026%E5%B9%B4%E6%9C%83%E6%9B%B4%E5%A5%BD
參數:中保科旺年會秀ai助理-董座林建涵2026年會更好(Page)",無限+生活誌,檢查是否有 SRI（子資源完整性）支援,SRI (Subresource Integrity) not supported,不支援 SRI（子資源完整性）,"Add Subresource Integrity to every script/link with source not in your domain
W3C Subresource Integrity:
https://www.w3.org/TR/SRI/
SRI Hash Generator:
https://srihash.org
Sample Script Element Not Supporting SRI:
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
Sample Script Element Supporting SRI:
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
","將「子資源完整性」新增至每一個 Script/鏈結（其原始碼不在您網域中）
W3C 子資源完整性：
https://www.w3.org/TR/SRI/
SRI雜湊生成器：
https://srihash.org
不支援SRI的範例腳本元素：
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
範例劇本元素支援SRI：
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
",Medium,假設第三方伺服器已受損，網站的內容/行為會變更,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
339,Unable,82,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%B8%AD%E4%BF%9D%E7%A7%91%E5%B8%83%E5%B1%80ai%E6%99%BA%E6%85%A7%E5%81%9C%E8%BB%8A%E5%A4%A7%E8%BA%8D%E9%80%B2%E6%97%97%E4%B8%8B%E5%9C%8B%E9%9B%B2%E6%99%BA%E6%85%A7%E5%81%9C%E8%BB%8A%E5%8A%A9%E6%94%BB%E6%96%B0%E7%AB%B9%E5%B8%82%E6%99%BA%E6%85%A7%E8%BB%8...
參數:中保科布局ai智慧停車大躍進旗下國雲智慧停車助攻新竹市智慧車柱突破2400席(Page)",無限+生活誌,檢查是否有 SRI（子資源完整性）支援,SRI (Subresource Integrity) not supported,不支援 SRI（子資源完整性）,"Add Subresource Integrity to every script/link with source not in your domain
W3C Subresource Integrity:
https://www.w3.org/TR/SRI/
SRI Hash Generator:
https://srihash.org
Sample Script Element Not Supporting SRI:
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
Sample Script Element Supporting SRI:
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
","將「子資源完整性」新增至每一個 Script/鏈結（其原始碼不在您網域中）
W3C 子資源完整性：
https://www.w3.org/TR/SRI/
SRI雜湊生成器：
https://srihash.org
不支援SRI的範例腳本元素：
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
範例劇本元素支援SRI：
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
",Medium,假設第三方伺服器已受損，網站的內容/行為會變更,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
340,Unable,87,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/10%E5%B9%B4%E6%8E%8C%E5%BA%97%E7%B6%93%E9%A9%97%E6%95%A6%E5%8C%97%E5%BA%97%E9%95%B7%E6%9D%8E%E9%9B%AF%E9%9B%AF%E6%8E%8C%E6%8F%A1%E3%80%8C%E6%88%90%E5%8A%9F%E8%A9%A6%E5%90%83%E8%A1%93%E3%80%8D%E5%96%AE%E6%9C%88%E6%A5%AD%E7%B8%BE%E9%A3%863%E5%80%8D
參數:10年掌店經驗敦北店長李雯雯掌握「成功試吃術」單月業績飆3倍(Page)",無限+生活誌,檢查是否有 SRI（子資源完整性）支援,SRI (Subresource Integrity) not supported,不支援 SRI（子資源完整性）,"Add Subresource Integrity to every script/link with source not in your domain
W3C Subresource Integrity:
https://www.w3.org/TR/SRI/
SRI Hash Generator:
https://srihash.org
Sample Script Element Not Supporting SRI:
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
Sample Script Element Supporting SRI:
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
","將「子資源完整性」新增至每一個 Script/鏈結（其原始碼不在您網域中）
W3C 子資源完整性：
https://www.w3.org/TR/SRI/
SRI雜湊生成器：
https://srihash.org
不支援SRI的範例腳本元素：
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
範例劇本元素支援SRI：
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
",Medium,假設第三方伺服器已受損，網站的內容/行為會變更,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
341,Unable,103,https://news.secom.com.tw/,"https://news.secom.com.tw/articles/%E7%AC%AC%E4%B8%80%E5%90%8D%E5%AD%B8%E9%9C%B8%E6%8A%80%E8%83%BD%E7%AB%B6%E8%B3%BD%E9%87%91%E7%89%8C%E7%B1%83%E7%90%83%E9%9A%8A%E8%8F%81%E8%8B%B1%E6%9E%97%E7%87%88%E5%9F%BA%E9%87%91%E6%9C%83%E7%8D%8E%E5%8A%A974%E4%BD%8D%E9%AB%98%E4%B8%AD%E8%81%B7%E5%84%A...
參數:第一名學霸技能競賽金牌籃球隊菁英林燈基金會獎助74位高中職優秀學生-79842a6b-fb8a-41a5-9115-99e568b3ef71(Page)",無限+生活誌,檢查是否有 SRI（子資源完整性）支援,SRI (Subresource Integrity) not supported,不支援 SRI（子資源完整性）,"Add Subresource Integrity to every script/link with source not in your domain
W3C Subresource Integrity:
https://www.w3.org/TR/SRI/
SRI Hash Generator:
https://srihash.org
Sample Script Element Not Supporting SRI:
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
Sample Script Element Supporting SRI:
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
","將「子資源完整性」新增至每一個 Script/鏈結（其原始碼不在您網域中）
W3C 子資源完整性：
https://www.w3.org/TR/SRI/
SRI雜湊生成器：
https://srihash.org
不支援SRI的範例腳本元素：
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
範例劇本元素支援SRI：
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
",Medium,假設第三方伺服器已受損，網站的內容/行為會變更,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
342,Unable,105,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E8%A6%8B%E7%BE%A9%E5%8B%87%E7%82%BA%E8%BF%BD%E6%8D%95%E6%AF%92%E8%9F%B2%E6%90%B6%E5%8C%AA%E4%B8%AD%E4%BF%9D%E6%9C%8D%E5%8B%99%E5%93%A1%E6%9D%8E%E5%BB%BA%E8%B3%93%E8%8B%B1%E5%8B%87%E8%A1%A8%E7%8F%BE%E7%8D%B2%E8%A1%A8%E6%8F%9A
參數:見義勇為追捕毒蟲搶匪中保服務員李建賓英勇表現獲表揚(Page)",無限+生活誌,檢查是否有 SRI（子資源完整性）支援,SRI (Subresource Integrity) not supported,不支援 SRI（子資源完整性）,"Add Subresource Integrity to every script/link with source not in your domain
W3C Subresource Integrity:
https://www.w3.org/TR/SRI/
SRI Hash Generator:
https://srihash.org
Sample Script Element Not Supporting SRI:
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
Sample Script Element Supporting SRI:
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
","將「子資源完整性」新增至每一個 Script/鏈結（其原始碼不在您網域中）
W3C 子資源完整性：
https://www.w3.org/TR/SRI/
SRI雜湊生成器：
https://srihash.org
不支援SRI的範例腳本元素：
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
範例劇本元素支援SRI：
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
",Medium,假設第三方伺服器已受損，網站的內容/行為會變更,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
343,Unable,115,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E5%B0%8F%E5%AD%B8%E7%94%9F%E5%88%B070%E6%AD%B2%E5%A5%B6%E5%A5%B6%E9%83%BD%E6%98%AF%E4%B8%BB%E9%A1%A7%E6%95%A6%E5%8C%97%E5%BA%97%E9%95%B7%E6%9D%8E%E5%85%8B%E5%8B%A4%E3%80%8C%E6%9A%96%E7%94%B7%E6%9C%8D%E5%8B%99%E3%80%8D%E8%A1%9D%E6%A5%AD%E7%B8%BE
參數:小學生到70歲奶奶都是主顧敦北店長李克勤「暖男服務」衝業績(Page)",無限+生活誌,檢查是否有 SRI（子資源完整性）支援,SRI (Subresource Integrity) not supported,不支援 SRI（子資源完整性）,"Add Subresource Integrity to every script/link with source not in your domain
W3C Subresource Integrity:
https://www.w3.org/TR/SRI/
SRI Hash Generator:
https://srihash.org
Sample Script Element Not Supporting SRI:
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
Sample Script Element Supporting SRI:
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
","將「子資源完整性」新增至每一個 Script/鏈結（其原始碼不在您網域中）
W3C 子資源完整性：
https://www.w3.org/TR/SRI/
SRI雜湊生成器：
https://srihash.org
不支援SRI的範例腳本元素：
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
範例劇本元素支援SRI：
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
",Medium,假設第三方伺服器已受損，網站的內容/行為會變更,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
344,Unable,116,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E6%B0%B8%E4%B8%8D%E6%94%BE%E6%A3%84%E7%9A%84%E5%8F%B0%E7%81%A3%E7%8E%8B%E7%89%8C%E7%9C%8B%E8%A6%8B%E7%8E%8B%E5%BB%BA%E6%B0%91%E7%9A%84%E9%8B%BC%E9%90%B5%E6%84%8F%E5%BF%97
參數:永不放棄的台灣王牌看見王建民的鋼鐵意志(Page)",無限+生活誌,檢查是否有 SRI（子資源完整性）支援,SRI (Subresource Integrity) not supported,不支援 SRI（子資源完整性）,"Add Subresource Integrity to every script/link with source not in your domain
W3C Subresource Integrity:
https://www.w3.org/TR/SRI/
SRI Hash Generator:
https://srihash.org
Sample Script Element Not Supporting SRI:
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
Sample Script Element Supporting SRI:
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
","將「子資源完整性」新增至每一個 Script/鏈結（其原始碼不在您網域中）
W3C 子資源完整性：
https://www.w3.org/TR/SRI/
SRI雜湊生成器：
https://srihash.org
不支援SRI的範例腳本元素：
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
範例劇本元素支援SRI：
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
",Medium,假設第三方伺服器已受損，網站的內容/行為會變更,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
345,Unable,117,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%B8%AD%E4%BF%9D%E9%9B%99%E5%BB%9A%E7%9A%84%E7%BE%8E%E5%91%B3%E9%97%9C%E4%BF%82%E5%B8%A5%E5%93%A5%E7%BE%8E%E5%A5%B3%E4%BA%92%E7%9B%B8%E6%BF%80%E7%99%BC%E3%80%8C%E9%AB%98%E9%A1%8F%E5%80%BC%E6%96%99%E7%90%86%E3%80%8D
參數:中保雙廚的美味關係帥哥美女互相激發「高顏值料理」(Page)",無限+生活誌,檢查是否有 SRI（子資源完整性）支援,SRI (Subresource Integrity) not supported,不支援 SRI（子資源完整性）,"Add Subresource Integrity to every script/link with source not in your domain
W3C Subresource Integrity:
https://www.w3.org/TR/SRI/
SRI Hash Generator:
https://srihash.org
Sample Script Element Not Supporting SRI:
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
Sample Script Element Supporting SRI:
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
","將「子資源完整性」新增至每一個 Script/鏈結（其原始碼不在您網域中）
W3C 子資源完整性：
https://www.w3.org/TR/SRI/
SRI雜湊生成器：
https://srihash.org
不支援SRI的範例腳本元素：
<script src=""https://example.com/example-framework.js"" crossorigin=""anonymous""></script>
範例劇本元素支援SRI：
<script src=""https://example.com/example-framework.js"" integrity=""sha384-oqVuAfXRKap7fdgcCY5uykM6+R9GqQ8K/uxy9rx7HNQlGYl1kPzQho1wx4JwY8wC"" crossorigin=""anonymous""></script>
",Medium,假設第三方伺服器已受損，網站的內容/行為會變更,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
